CreditApproval	id	Arguments	Gender	DebtRatio	EmploymentStatus	MaritalStatus	EducationLevel	OccupationType	CreditAmount	CreditRatio	HasCreditCard	HasDefault	NumCreditLines	Age	HasLoan	PropertyType	LoanCount
Approved Rejected	string	string	female male	continuous	employed unemployed	g p	aa cc ff i j k m postgrad q r secondary tertiary w x	clerical dd n o other professional skilled unskilled z	continuous	continuous	no yes	no yes	continuous	continuous	no yes	own rent s	continuous
class	meta	meta															
Approved	Person47		male	2.04	employed	p	q	skilled	455	0.125	yes	yes	23	41	yes	own	1236
Rejected	Person532		male	0.67	unemployed	g	aa	skilled	400	1.75	yes	no	0	24.58	no	own	0
Approved	Person69		female	6.5	unemployed	g	w	skilled	80	1.46	yes	yes	7	19.42	no	own	2954
Approved	Person586		female	17.75	unemployed	g	ff	clerical	0	0	yes	no	0	73.42	yes	own	0
Approved	Person56		female	11.625	employed	p	w	professional	160	0.835	yes	no	0	23.33	yes	own	300
Approved	Person221		male	12.54	unemployed	g	aa	professional	156	2.29	yes	yes	3	50.08	yes	own	0
Rejected	Person605		female	0.585	unemployed	g	secondary	skilled	180	0.085	yes	no	0	23.42	no	own	0
Approved	Person558		male	1.46	unemployed	g	w	professional	120	1.085	yes	yes	16	32.17	no	own	2079
Approved	Person194		female	1.585	employed	p	w	professional	80	3.085	yes	yes	6	22.67	no	own	0
Rejected	Person684		female	0.75	employed	p	tertiary	professional	240	0.585	no	no	0	36.42	no	own	3
Rejected	Person274		female	10.125	employed	p	k	professional	160	0.125	no	no	0	38.25	no	own	0
Approved	Person229		female	0.375	unemployed	g	q	professional	80	2	yes	yes	2	19.67	yes	own	0
Rejected	Person292		male	10	unemployed	g	w	professional	120	1	no	yes	1	18.25	no	own	1
Approved	Person38		male	11.75	unemployed	g	x	skilled	300	0.5	yes	yes	2	23	yes	own	551
Rejected	Person418		female	1.79	unemployed	g	secondary	professional	136	0.54	no	no	0	23.58	yes	own	1
Approved	Person4		female	1.54	unemployed	g	w	professional	100	3.75	yes	yes	5	27.83	yes	own	3
Rejected	Person272		female	2.5	unemployed	g	secondary	professional	280	1.25	no	no	0	32.33	yes	own	0
Approved	Person18		male	5.875	unemployed	g	q	professional	120	3.17	yes	yes	10	23.25	no	own	245
Approved	Person187		female	6.5	unemployed	g	aa	unskilled	0	3.5	yes	yes	1	40	no	own	500
Rejected	Person366		female	1.25	unemployed	g	m	professional	352	13.875	no	yes	1	42.83	yes	own	112
Approved	Person213		female	14.5	unemployed	g	ff	clerical	0	18	yes	yes	15	60.08	yes	own	1000
Rejected	Person482		female	3.165	employed	p	k	professional	280	0.415	no	yes	1	23.5	yes	own	80
Rejected	Person340		female	3	unemployed	g	w	professional	300	0.75	no	no	0	28	yes	own	67
Rejected	Person483		male	9.5	unemployed	g	aa	professional	0	1.75	no	yes	10	17.33	yes	own	10
Rejected	Person412		female	3	unemployed	g	secondary	professional	0	1.25	no	yes	1	25.17	no	own	22
Rejected	Person350		female	1.5	unemployed	g	w	professional	100	2.25	no	yes	1	27.83	yes	own	3
Rejected	Person685		female	3.29	unemployed	g	m	professional	400	3.5	no	no	0	40.58	yes	s	0
Rejected	Person420		male	2.54	employed	p	ff	clerical	180	0	no	no	0	26.58	yes	own	60
Rejected	Person308		female	10.29	unemployed	g	ff	clerical	80	0.415	no	no	0	18.58	no	own	0
Rejected	Person73		male	5	unemployed	g	cc	professional	980	13.5	yes	no	0	38.58	yes	own	0
Approved	Person319		female	0	employed	p	m	unskilled	500	0	no	no	0	19.17	yes	s	1
Approved	Person185		male	5.665	unemployed	g	q	professional	129	2.585	yes	yes	7	22.42	no	own	3257
Approved	Person140		male	13.5	unemployed	g	q	skilled	0	5	yes	yes	2	26.92	no	own	5000
