target	id	Arguments	status_account	month_duration	credit_history	purpose	credit_amount	status_savings	years_employment	payment_to_income_ratio	status_and_sex	secondary_obligor	residence_since	collateral	age	other_installment_plans	housing	n_credits	job	n_guarantors	telephone	is_foreign_worker
bad good	string	string	High\ positive\ balance Low\ positive\ balance Negative\ balance No\ checking\ account	continuous	all\ credits\ at\ this\ bank\ paid\ back\ duly critical\ account/\ other\ credits\ existing\ (not\ at\ this\ bank) delay\ in\ paying\ off\ in\ the\ past existing\ credits\ paid\ back\ duly\ till\ now no\ credits\ taken/\ all\ credits\ paid\ back\ duly	business car\ (new) car\ (used) domestic\ appliances education furniture/equipment others radio/television repairs retraining	continuous	100\ to\ <\ 500\ DM 500\ to\ <\ 1000\ DM <\ 100\ DM >=\ 1000\ DM unknown/\ no\ savings\ account	1\ to\ <\ 4\ years 4\ to\ <\ 7\ years <\ 1\ year >=\ 7\ years unemployed	continuous	female\ :\ divorced/separated/married male\ :\ divorced/separated male\ :\ married/widowed male\ :\ single	co-applicant guarantor none	continuous	car none real\ estate savings\ agreement/life\ insurance	continuous	bank none stores	for\ free own rent	continuous	management/\ self-employed/highly\ qualified\ employee skilled\ employee/\ official unemployed/\ unskilled\ -\ non-resident unskilled\ -\ resident	continuous	none yes,\ registered\ under\ the\ customers\ name	no yes
class	meta	meta																				
good	1		Negative balance	6	critical account/ other credits existing (not at this bank)	radio/television	1169	unknown/ no savings account	>= 7 years	4	male : single	none	4	none	67	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	2		Low positive balance	48	existing credits paid back duly till now	radio/television	5951	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	2	none	22	none	own	1	skilled employee/ official	1	none	yes
good	3		No checking account	12	critical account/ other credits existing (not at this bank)	education	2096	< 100 DM	4 to < 7 years	2	male : single	none	3	none	49	none	own	1	unskilled - resident	2	none	yes
good	4		Negative balance	42	existing credits paid back duly till now	furniture/equipment	7882	< 100 DM	4 to < 7 years	2	male : single	guarantor	4	car	45	none	for free	1	skilled employee/ official	2	none	yes
bad	5		Negative balance	24	delay in paying off in the past	car (new)	4870	< 100 DM	1 to < 4 years	3	male : single	none	4	savings agreement/life insurance	53	none	for free	2	skilled employee/ official	2	none	yes
good	6		No checking account	36	existing credits paid back duly till now	education	9055	unknown/ no savings account	1 to < 4 years	2	male : single	none	4	savings agreement/life insurance	35	none	for free	1	unskilled - resident	2	yes, registered under the customers name	yes
good	7		No checking account	24	existing credits paid back duly till now	furniture/equipment	2835	500 to < 1000 DM	>= 7 years	3	male : single	none	4	car	53	none	own	1	skilled employee/ official	1	none	yes
good	8		Low positive balance	36	existing credits paid back duly till now	car (used)	6948	< 100 DM	1 to < 4 years	2	male : single	none	2	real estate	35	none	rent	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	9		No checking account	12	existing credits paid back duly till now	radio/television	3059	>= 1000 DM	4 to < 7 years	2	male : divorced/separated	none	4	none	61	none	own	1	unskilled - resident	1	none	yes
bad	10		Low positive balance	30	critical account/ other credits existing (not at this bank)	car (new)	5234	< 100 DM	unemployed	4	male : married/widowed	none	2	real estate	28	none	own	2	management/ self-employed/highly qualified employee	1	none	yes
bad	11		Low positive balance	12	existing credits paid back duly till now	car (new)	1295	< 100 DM	< 1 year	3	female : divorced/separated/married	none	1	real estate	25	none	rent	1	skilled employee/ official	1	none	yes
bad	12		Negative balance	48	existing credits paid back duly till now	business	4308	< 100 DM	< 1 year	3	female : divorced/separated/married	none	4	car	24	none	rent	1	skilled employee/ official	1	none	yes
