activity	size	net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	credit.score	total.oper.liabilities/assets	current.ratio	lt.sales.growth	st.sales.growth	lt.ebit.margin.change	net.debt/EBITDA	equity.ratio	TIE	ROA	public	id	activity.id	activity.ime	Arguments
A B C D E F G H I J K L M N Q R S	L M S	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	A E	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	FALSE TRUE	string	string	string	string
																								class	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
C	S	8027333	6836338	1149061	308167	90450	90450	99595	407762	14940	6674671	1206058	2959564	15966	3569787	3093095	2191234	2191234	2498141	2652657	613477	323107	318232	E	32.8	1.17	27.9	39.4	-6.2	7.22	0.18	1.10	1.6	FALSE	EUROBOX, proizvodnja in trgovina, d.o.o.	17.21	PROIZVODNJA VALOVITEGA PAPIRJA IN KARTONA TER PAPIRNE IN KARTONSKE EMBALAZE	?
G	S	3958025	3011069	676014	184162	788	30	62042	246204	59335	3102692	2548611	0	871805	856874	2239564	347705	347705	0	347705	0	238830	325898	A	11.2	6.44	-0.6	-6.9	3.4	-3.54	0.82	100.00	2.0	FALSE	DIVERSEY, druzba za proizvodnjo in prodajo d.o.o.	46.75	TRGOVINA NA DEBELO S KEMICNIMI IZDELKI	?
C	M	13873965	10736950	2579018	901894	272295	272295	-818933	82961	-1017562	15106250	3164952	9328398	31624	11688951	3412304	2089741	2089741	7443673	3974466	1771789	-214237	-140892	E	13.8	0.86	-3.3	4.1	-1.2	30.00	0.21	0.00	-5.2	FALSE	LIP opazne plosce Bohinj, d.o.o.	16.21	PROIZVODNJA FURNIRJA IN PLOSC NA OSNOVI LESA	?
F	M	14472188	11158396	3073460	211667	96255	96255	127413	339080	64337	7592611	2407700	1518213	101932	3160524	4431956	3483868	3483868	932479	4069602	118305	271377	-24566	E	45.9	1.09	-1.7	1.4	-0.1	4.18	0.32	1.32	1.8	FALSE	REMONT obrtno gradbeno podjetje, d.d.	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	?
C	S	2757717	1965954	619045	47370	14335	14335	74830	122200	55894	2389715	1135178	275475	0	266591	1964097	970874	881381	89493	1156856	1665031	103264	-30966	A	40.6	1.70	-3.5	-8.2	6.3	2.25	0.48	5.22	3.2	FALSE	SILCOOP varilna tehnika d.o.o.	25.5	KOVANJE, STISKANJE, VTISKOVANJE IN VALJANJE KOVIN; PRASNA METALURGIJA	?
F	M	21381638	12635230	6378038	1216291	441498	347857	1092224	2308515	237480	13228851	3445271	3735270	278207	5644973	7564920	4736986	4736986	2905803	5566453	955520	1273273	963750	A	35.8	1.36	-1.1	10.3	3.3	1.50	0.26	3.14	8.1	FALSE	VOC CELJE vzdrzevanje in obnova cest, d.d.	42.11	GRADNJA CEST	?
G	M	15279979	14085602	879058	336661	29204	29204	-39793	296868	9305	7710082	2260265	1781067	763803	2369181	5340576	3277687	3277687	1751341	3307413	3451971	345966	861697	E	42.5	1.61	-3.8	6.6	-1.0	3.43	0.29	0.00	-0.6	FALSE	ASP storitveno in trgovsko podjetje d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
G	L	118629088	113712920	2795655	143845	147633	147633	1525413	1669258	1467387	47786436	4909145	1556199	4341712	954483	46812568	40173096	40173096	24134	41705160	16689567	1611232	278384	E	84.1	1.12	-4.9	-1.4	0.3	-1.67	0.10	10.33	3.3	FALSE	AVTO TRIGLAV trgovina z avtomobili in deli, d.o.o., Ljubljana	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
J	S	2258179	699890	1443702	216638	0	0	-113520	103118	-84300	4915288	4562178	0	22324	3494938	1419315	305588	305588	0	305588	56635	108864	193742	A	6.2	4.64	-15.6	-18.5	-2.2	-0.22	0.93	0.00	-2.2	TRUE	Javno podjetje Uradni list Republike Slovenije, d.o.o.	58.13	IZDAJANJE CASOPISOV	?
