activity	size	net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	credit.score	total.oper.liabilities/assets	current.ratio	lt.sales.growth	st.sales.growth	lt.ebit.margin.change	net.debt/EBITDA	equity.ratio	TIE	ROA	public	id	activity.id	activity.ime	Arguments
A B C D E F G H I J K L M N Q R S	L M S	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	A E	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	FALSE TRUE	string	string	string	string
																								class											meta	meta	meta	meta
C	L	46478444	34692816	6397060	2487129	482437	364151	2344965	4832094	1629286	44967928	29281806	8027542	2873520	19723030	25055576	5571384	5571384	6333344	7265582	10333893	3851344	3315647	A	12.4	3.45	-2.9	-7.2	3.7	1.07	0.65	6.44	5.2	FALSE	FRUCTAL Zivilska industrija d.o.o.	10.32	PROIZVODNJA SADNIH IN ZELENJAVNIH SOKOV	?
Q	L	9441113	4023940	3815902	839998	6049	6049	768738	1608736	726984	8466300	6994826	258551	384500	7276799	1184834	1107263	1107263	43484	1322330	115168	1560006	1548607	A	13.1	0.90	8.0	6.7	-0.7	-0.08	0.83	100.00	9.2	FALSE	ZDRAVILISCE ROGASKA-ZDRAVSTVO d.o.o.	86.22	SPECIALISTICNA ZUNAJBOLNISNICNA ZDRAVSTVENA DEJAVNOST	?
E	L	130601096	118547352	6630805	3390030	1184547	1180246	2039804	5429834	852626	80115552	36361096	28687540	127473	45017288	32506708	14986239	14986239	13068283	30605496	4528264	4199714	2697204	E	18.7	1.06	6.0	-12.9	-3.3	5.26	0.45	1.73	2.5	FALSE	DINOS, druzba za pripravo sekundarnih surovin, d.d.	38.32	PRIDOBIVANJE SEKUNDARNIH SUROVIN IZ OSTANKOV IN ODPADKOV	?
F	S	2714998	1548065	1480663	82918	48835	48835	-361157	-278239	-410324	2016517	562109	829217	15322	702853	1227924	625191	623764	350470	1103938	259094	-327406	-69863	E	31.0	1.11	10.8	-16.5	-12.9	30.00	0.28	0.00	-16.5	FALSE	MONTAZA Proizvodnja in montaza Lendava d.o.o. - V STECAJU	43.22	INSTALIRANJE VODOVODNIH, PLINSKIH IN OGREVALNIH NAPELJAV IN NAPRAV	?
M	M	20426490	16848542	2955932	1327854	638649	638649	1753046	3080900	1097229	40692668	13164225	11230341	1308035	25105652	15484573	9479560	9479560	4307143	16402758	4327293	2424869	5353785	E	23.3	0.94	270.5	88.8	9.3	3.22	0.32	2.74	4.7	FALSE	Seaway Yachts, razvojni center za nove materiale, pogone in tehnologije, d.o.o.	72.19	RAZISKOVALNA IN RAZVOJNA DEJAVNOST NA DRUGIH PODROCJIH NARAVOSLOVJA IN TEHNOLOGIJE	?
A	L	5496101	4570427	968053	412263	32431	28403	612510	1024773	508536	7515524	4920579	862500	56095	4671518	2840112	528733	528733	350000	1041233	1206648	920698	489920	A	7.0	2.73	9.9	-3.0	5.8	0.79	0.65	21.56	8.6	FALSE	JERUZALEM ORMOZ, STORITVE, AGRAR, TRGOVINA D.D.	1.11	PRIDELOVANJE ZIT (RAZEN RIZA), STROCNIC IN OLJNIC	?
G	M	17873510	15999780	1905249	626435	1120761	424258	-621956	4479	-1648500	9097497	-1047241	8147729	19690	7409057	1551810	1856601	1856601	5990290	4014040	1032556	-1123048	-1031115	E	20.4	0.39	-12.9	-20.8	-3.7	30.00	-0.12	0.00	-6.3	FALSE	AVTO SERBINEK trgovina in storitve d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
G	S	5818119	5078758	442329	249787	89844	89844	126061	375848	43462	5065677	4128595	829862	89183	2328569	2726624	102375	102375	684995	247242	1400137	266634	197108	A	2.0	11.03	2.7	-7.9	-2.0	1.97	0.82	1.40	2.4	FALSE	PROLOCO TRADE, trgovina, storitve in zastopanje, d.o.o.	46.19	NESPECIALIZIRANO POSREDNISTVO PRI PRODAJI RAZNOVRSTNIH IZDELKOV	?
